email,application_number,first_name,middle_name,last_name,gender,date_of_birth,major_id,minor_id,citizenship,sending_institute_id,receiving_institute_id,term_id,year,birth_city,birth_country,undergrad_or_grad,year_in_school,semesters_completed,major_coursework,minor_coursework,level_cousework,undergrad_FTE,UG_FTE_withdrawl,G_FTE_withdrawl,notes
purus@semperduilectus.ca,24,Dustin,,Cervantes,FEMALE,14/03/2012,1,2,Germany,2,10,1,2013,Bamberg,Germany,G,Junior,3,1,2,G,-0.04449237394,-0.1694811829,-0.3317698345,...
quis.pede.Suspendisse@Etiamvestibulum.com,3,Nevada,,Patrick,FEMALE,06/10/1949,2,2,Germany,3,6,1,2017,Rödermark,Germany,UG,Junior,7,1,2,UG,-0.3385229398,0.4047411663,-0.2599772809,...
sapien.cursus@posuerevulputate.net,46,Shea,Melinda,Rivas,FEMALE,02/06/1987,1,2,"United States",9,2,1,2018,"Pike Creek","United States",G,Junior,8,2,2,UG,0.08688892886,-0.1150055344,0.3220718768,...
scelerisque@lectusa.co.uk,14,Lev,,Clayton,FEMALE,23/03/1949,1,2,Germany,3,7,3,2012,Krefeld,Germany,G,Freshman,5,1,2,UG,0.3958980083,0.1600520904,0.1449216349,...
Sed.auctor.odio@ipsumdolor.ca,44,Ivan,,Perkins,MALE,29/12/1983,2,2,Germany,3,8,2,2012,Hamburg,Germany,G,Freshman,1,1,2,UG,0.373002891,-0.3585251559,-0.03673025646,...
semper.Nam.tempor@egetmassaSuspendisse.edu,33,Rhoda,Amal,Rosario,FEMALE,19/10/2015,2,1,"United States",8,2,3,2014,"Cedar Rapids","United States",G,Sophomore,5,2,2,G,-0.1752345121,-0.2307434865,-0.08355357052,...
semper@tincidunttempusrisus.ca,18,Aidan,,Mccoy,MALE,03/01/1944,1,1,Germany,1,6,3,2016,Hamburg,Germany,UG,Sophomore,5,1,2,G,-0.2827785115,-0.06503601625,0.2443724307,...
tempus.lorem.fringilla@velitPellentesqueultri,22,Ulysses,,Calderon,FEMALE,15/07/2006,1,2,Germany,1,8,1,2015,Schweinfurt,Germany,G,Junior,2,2,2,G,-0.1994563882,0.3625023086,0.07692127744,...
tristique.aliquet@suscipitnonummyFusce.edu,38,Larissa,,Patel,FEMALE,03/05/1961,1,1,Germany,5,7,1,2012,Landshut,Germany,UG,"5th year",6,1,2,UG,0.2690069601,0.4434389019,-0.3059918341,...
velit@amet.co.uk,31,Virginia,Xavier,Aguirre,FEMALE,02/04/2001,2,2,"United States",10,4,3,2013,Nashville,"United States",G,Senior,10,1,2,UG,0.05682296043,-0.168096678,-0.1547526696,...
velit@Integer.org,2,Ciaran,,Bowman,FEMALE,02/09/1959,1,1,Germany,2,9,3,2016,Böblingen,Germany,UG,Senior,10,1,1,G,-0.1870887633,0.1109097624,0.06262746862,...
vestibulum@idliberoDonec.com,8,Clinton,,Hahn,FEMALE,28/06/1959,1,1,Germany,2,10,3,2017,"Bergisch Gladbach",Germany,UG,Sophomore,2,2,1,G,-0.2843458251,-0.3472343006,0.02639932389,...
vitae@ametornare.net,29,Shoshana,Ima,Horne,MALE,12/08/1981,2,2,"United States",6,3,2,2015,Davenport,"United States",G,Sophomore,5,2,1,G,-0.1117953434,-0.6532021197,-0.293834188,...
vitae@odioAliquamvulputate.net,32,Jayme,,Gentry,MALE,31/07/1929,2,2,Germany,2,7,3,2017,Esslingen,Germany,UG,"5th year",7,2,2,G,-0.2661957666,-0.1673483912,-0.01650164883,...
vitae@urna.org,4,Herman,,Gaines,MALE,07/08/2011,2,1,Germany,3,8,2,2012,Stendal,Germany,UG,Freshman,9,2,2,UG,-0.2728364135,-0.1798505008,-0.1555210253,...
